,Tweet,Sentiment
48,"49. ""@kenjaya2016 @BlangkonJateng @ganjarpranowo @LKPP_RI Terkait produk sesuai PMK 58 th 2022 bhw objek PPN adlh produk BKP &amp; pemungut PPN adlh marketplace sehingga penyedia Non PKP apabila berjualan pd marketplace akan tetap dipungut PPN bila menggunakan PMK 58,Produk tdk lolos verif disebabkan produk merupakan BKP shg dikenakan PPN""",49. Netral
49,"50. ""@kenjaya2016 @BlangkonJateng @ganjarpranowo @LKPP_RI Utk produk yg dpt ditransaksikan di mitra toko daring saat ini sdh ada 14 kategori sesuai dengan kep deputi monev lkpp no 129 th 2022 kak..""",50. Positif
50,"61. ""Gabung sekarang dengan mengunjungi tautan berikut ini: https://t.co/TtiH6oRaL1Kami tunggu partisipasinya! #LKPP#PeningkatanKapasitas#PelakuUsaha https://t.co/mNSox8t3ZI""",61. Netral 
51,"62. ""Haloo Sobat Kredibel.. Bagi kalian para Pelaku Usaha yang ingin meningkatkan kapasitasnya. Yuk, ikuti seminar peluang usaha dengan mendaftarkan diri pada Seminar Peningkatan Kapasitas Pelaku Usaha yang tertera sesuai jadwal pada infografik ini ☺️ https://t.co/gUzM0HILBr""",62. Positif 
52,"63. ""@biroapbj_jtg @BlangkonJateng @ganjarpranowo @LKPP_RI (2) 𝚂𝚢 𝚙𝚎𝚛𝚗𝚊𝚑 𝚞𝚙𝚕𝚘𝚊𝚍 𝚙𝚛𝚘𝚍𝚞𝚔 𝚍𝚒 𝙶𝚁𝙰𝚃𝙸𝚂 𝙾𝙽𝙶𝙺𝙸𝚁. 𝙺𝚊𝚛𝚎𝚗𝚊 𝚜𝚊𝚢𝚊 𝚗𝚘𝚗 𝙿𝙺𝙿, 𝚜𝚊𝚢𝚊 𝚝𝚒𝚍𝚊𝚔 𝚒𝚜𝚒 𝚙𝚊𝚓𝚊𝚔 11 𝚙𝚎𝚛𝚜𝚎𝚗. 𝙼𝚊𝚔𝚊, 𝚙𝚘𝚜𝚝𝚒𝚗𝚐𝚊𝚗 𝚜𝚊𝚢𝚊 𝚝𝚒𝚍𝚊𝚔 𝚕𝚘𝚕𝚘𝚜 𝚟𝚎𝚛𝚒𝚏𝚒𝚔𝚊𝚜𝚒? 𝙼𝚎𝚗𝚐𝚊𝚙𝚊 𝚋𝚐𝚝?""",63. Netral 
53,"64. ""@biroapbj_jtg @BlangkonJateng @ganjarpranowo @LKPP_RI 𝚜𝚊𝚢𝚊 𝚙𝚎𝚛𝚕𝚞 𝚍𝚒𝚋𝚊𝚗𝚝𝚞 𝚓𝚊𝚠𝚊𝚋, 𝚙𝚎𝚛𝚝𝚊𝚗𝚢𝚊𝚊𝚗 𝚜𝚊𝚢𝚊:(1) 𝙱𝚊𝚛𝚊𝚗𝚐 𝚊𝚙𝚊 𝚊𝚓𝚊 𝚢𝚐 𝚋𝚒𝚜𝚊 𝚍𝚒𝚓𝚞𝚊𝚕 𝚍𝚒 𝙶𝚁𝙰𝚃𝙸𝚂 𝙾𝙽𝙶𝙺𝙸𝚁?""",64. Netral 
54,"65. ""Kader PDI Perjuangan, Hendrar Prihadi terus menggelorakan semangat membangun ekonomi kerakyatan dalam perannya sebagai Kepala LKPP RI. https://t.co/H7lOp7vq8I""",65. Positif 
55,"66. ""Untuk itu, dirinya bersama LKPP RI kemudian menggandeng PT. Telkom Indonesia guna melahirkan platform digital baru untuk pengadaan barang/jasa di Indonesia.#PDIPerjuangan#50tahunPDIP#bangunlahjiwadanbadannya#SolidBergerak""",66. Positif 
56,"67. ""Menurutnya, agar transformasi sistem digital LKPP RI dapat diupayakan lebih cepat diperlukan keterlibatan pihak yang telah berpengalaman dalam urusan pengembangan tekhnologi.""",67. Netral 
57,"68. ""Untuk itu dirinya meminta agar sistem yang dijalankan oleh LKPP RI saat ini bisa bertranformasi untuk bisa lebih cepat, tepat, dan mudah digunakan.Namun di sisi lain, Hendi pun tak memungkiri bahwa LKPP RI tidak dapat sendirian dalam membangun sistem seperti yang diinginkannya.""",68. Netral 
58,"69. ""Pasalnya, pria yang akrab disapa Hendi itu merasa bahwa sistem yang dimiliki oleh LKPP RI saat ini masih membingungkan, terlebih bagi pihak - pihak yang tidak akrab dengan tekhnologi.""",69. Negatif 
59,"70. ""Hendi Gandeng Telkom Gagas Platform Baru Pengadaan Barang/JasaKepala LKPP RI, Hendrar Prihadi mengungkapkan bahwa lembaga yang dipimpinnya membutuhkan pengembangan sistem untuk dapat mendorong pemaksimalan e-purchasing dalam proses pengadaan barang/jasa pemerintah. https://t.co/6XliFqwtoE""",
60,"71. ""Kepala LKPP RI, Hendrar Prihadi alias Hendi, menjelaskan pihaknya berkolaborasi dengan PT Telkom untuk membuat platform digital pengadaan barang/jasa yang baru. https://t.co/WJhyC8BfR2""",71. Netral
61,"72. ""Kepala LKPP RI Hendrar Prihadi mengatakan pihaknya membutuhkan pengembangan sistem untuk dapat mendorong pemaksimalan e-purchasing dalam proses pengadaan barang/jasa pemerintah.https://t.co/nXp3icixeZ""",72. Netral
62,"73. ""LKPP RI Gandeng PT Telkom Indonesia Ciptakan Platform Digital Baru - https://t.co/bdxEsJUpaL #AwalMediaNusantara #Berita""",73. Netral
63,"74. ""Kepala LKPP RI mendoakan agar Ibu Ketua Umum senantiasa diberikan kekuatan dan kesehatan agar dapat terus membimbing para kader untuk mengobarkan api perjuangan dalam peran masing-masing#PDIPerjuangan#50tahunPDIP#bangunlahjiwadanbadannya#SolidBergerak""",74. Positif
64,"75. ""Selamat Tahun Baru Imlek 2023 bagi Sobat Kredibel yang merayakan..Semoga setiap langkah kita di tahun Kelinci Air ini penuh berkah dan keberuntungan, serta Tuhan YME senantiasa menerangi jalan dan membimbing kita selalu. 🤲🏻😇#LKPP#TahunBaruImlek https://t.co/Vx3u9Dnj8k""",75. Positif
65,"76. ""Atau Sobat punya menu sarapan lain? Share di komen yaaaa...Kalau mimin sih sarapannya paket lengkap, harus ada nasi, lauk, sayur, ditambah semangat dan senyuman agar kuat menghadapi hari.Jangan lupa sarapan, karena tersenyum juga butuh tenaga bukan? 😄#LKPP""",76. Positif
66,"77. ""1. Si paling simpel, oles tabur sekali hap!2. Si paling sehat, yang selalu berencana diet (tapi mulai besok)3. Si paling mainstream, males coba yang baru, gampang dicari4. Si kudu kenyang, sarapan belum lengkap kalo gak ketemu nasi#LKPP https://t.co/Wt9vh4TsSy""",77. Positif
67,"78. ""Halo Sobat Kredibel, yang mana nih standard menu sarapanmu? https://t.co/AJ4yhsSSnV""",78. Netral
68,"79. ""@LKPP_RI selamat malam, bisakah tolong bantu? Terima kasih, https://t.co/DVGCjTcXds""",79. Netral
69,"80. ""@LKPP_RI Udh ikut pelatihan dri thn 2019 smpe skrng ga kepake ilmunya min,kudu piye???""",80. Negatif
70,"81. ""@LKPP_RI min input SIRUP lemot terus. hari ini error terus. gmn min? cepat perbaiki biar gak lemot""",81. Negatif 
71,"82. ""Nantikan informasi selanjutnya tentang pelatihan yang diselenggarakan oleh LPPBJ ya. Stay tune! #LKPP#PelatihanPBJ https://t.co/VGL0N5YqFE""",82. Netral 
72,"83. ""Haloo Sobat Kredibel.. Masih bingung dengan Pelatihan Pengadaan Barang/Jasa Pemerintah (PBJP) ? Yuk simak infografik berikut ini tentang tata cara pelatihan PBJP yang diselenggarakan oleh LKPP. #LKPP#PelatihanPBJ https://t.co/G7mJO4sj9T""",83. Netral 
73,"84. ""@LKPP_RI website sakti ketika pendaftaran masukin alamat gabisa masukin provinsi dll nya ga muncul pilihannya""",84. Negatif 
74,"85. ""@Adityalvin @Dedman011 @juarazr @kozirama @prastow Cc @bpkri @LKPP_RI @Itjen_Kemdikbud @ItjenKemenkeu tolong temuan netizen ini minimal dibahas dirapat2, program2 lain dikesampingkan dulu, kl apps ny udh beres dr mafia2 mark up gini, baru jln program lbih efektif, anggaran jg hampir dobel kan tuh kl bs diselametin angka fiktif ny""",85. Netral 
75,"86. ""👀 @bpkri @LKPP_RI""",86. Netral 
76,"87. ""#sobatpengadaan Hari ini ditandatangani Surat Perjanjian Teknis antara Plt Ka. Biro APBJ dgn Direktur Marketplace Gratis Ongkir utk mendukung pelaksanaan Program @BlangkonJateng agar belanja melalui Toko daring &amp; peningkatan UMK &amp; Koperasi semakin baik@ganjarpranowo @LKPP_RI https://t.co/OmdhOq2kRi""",87. Netral 
77,"88. ""@LKPP_RI @setkabgoid hallo masih pagi sdh lemot loding melulu. org disuruh kerja cepat tp infrastructure nya tdk memadai.😇😇😇 https://t.co/5NiVm5qw8z""",88. Negatif 
78,"89. ""@LKPP_RI jam segini sdh lemot terputus putus https://t.co/O2MO3alFVc""",89. Negatif 
79,"90. ""@LKPP_RI knp situs lpse itu lemot? input RUP aja lemot bukan main. 3 jam dapat 1 belanja. capek deh""",
80,"91. ""@LKPP_RI Hallo kak, saya sedang proses pembelian barang melalui ecatalogue/epurchasing, sudah saya masukkan k keranjang tetapi di keranjang tersebut tidak ada fitur buat paket. Mohon solusiny 🙏""",91. Netral
81,"92. ""Lowongan Kerja LKPP RI, Lulusan S1 Ayo Merapat, Cek Sekarang! https://t.co/WPnPPIeLQk""",92. Netral
82,"93. ""@BlockchainIndo @chainalysis @ItsAsih @dannybaskara @PPATK @ArsipNasionalRI @BPPT_RI @PerekonomianRI @LKPP_RI @BappenasRI @gilang_bh Boleh bagi presentasinya untuk belajar? :) terima kasihhh""",93. Netral
83,"94. ""@LKPP_RI apa benar lkpp lgi buka loker ??https://t.co/1pAQ2IBy9n""",94. Netral
84,"95. ""Kenapa e-katalog lemot sekali @LKPP_RI""",95. Negatif
85,"96. ""@LKPP_RI min mau tanya lowongan pengadaan jasa lainnya penyusun bahan pelaporan sudah ditutup ya?kok linknya dibuka udah gak bisa?padahal dateline 13 jan 23, mohon infonya""",96. Netral
86,"97. ""KemenkopUKM: Alokasi 40% belanja Pemerintah untuk menyerap produk Koperasi dan UMKM serta kemudahan dalam onboarding pengadaan e-Katalog @LKPP_RI merupakan upaya strategis Pemerintah dalam memihak Koperasi dan UMKM tanah air.#KemenKopUKM#UMKMBangkit#… https://t.co/vfhdaXbGvx""",97. Positif
87,"98. ""Alokasi 40% belanja Pemerintah untuk menyerap produk Koperasi dan UMKM serta kemudahan dalam onboarding pengadaan e-Katalog @LKPP_RI merupakan upaya strategis Pemerintah dalam memihak Koperasi dan UMKM tanah air.#KemenKopUKM#UMKMBangkit#KoperasiKeren#IndonesiaMaju https://t.co/kWUkptHJDs""",98. Positif
88,"99. ""@LKPP_RI MIXUE .... disuruh pengadaan es krim kali ya min? mohon info ini TKDN nya berapa persen min?""",99. Netral
89,"100. ""@LKPP_RI E-katalog nya sering error min""",100. Negatif
90,"101. ""@LKPP_RI MENABUNG @ochank83 @aden_aden @janwar_iyan""",101. Netral
91,"102. ""@LKPP_RI NAIKGAJI""",102. Positif
92,"103. ""@LKPP_RI Sehat""",103. Positif
93,"104. ""@LKPP_RI Nabung@Gerindra @DPP_PKB @PDI_Perjuangan Sory2 mimin 🙂""",104. Netral
94,"105. ""@LKPP_RI Terkenal""",105. Positif
95,"106. ""@LKPP_RI Sehat@zarazettirazr @fahiraidris @Nurmantyo_Gatot #LKPP#TemukanKata#KuisBaja""",106. Positif
96,"107. ""@LKPP_RI Kaya @NuriaWidowati @abdurahman @Elinda2023""",107. Positif
97,"108. ""@LKPP_RI Menabung""",108. Positif
98,"109. ""Jangan lupa ajak dan mention 3 temanmu untuk ikut temukan kata di atas dan dapatkan suvenir menarik dari LKPP bagi tiga orang Sobat Kredibel yang beruntung!#LKPP#TemukanKata#KuisBaja""",109. Netral
99,"110. ""Apapun resolusinya, semoga tahun ini menjadi tahun yang penuh berkah untuk kita semua ya!#LKPP#TemukanKata#KuisBaja""",110. Positif
100,"111. ""Semangat Senin Sobat Kredibel..Coba tuliskan di kolom komentar kata pertama yang kamu temukan pada gambar di atas!Apakah kata-kata tersebut merupakan resolusimu pada 2023?#LKPP#TemukanKata#KuisBaja https://t.co/UJBS6SaiHA""",111. Netral
101,"112. ""KemenkopUKM: Alokasi 40% belanja Pemerintah untuk menyerap produk Koperasi dan UMKM serta kemudahan dalam onboarding pengadaan e-Katalog @LKPP_RI merupakan upaya strategis Pemerintah dalam memihak Koperasi dan UMKM tanah air.#KemenKopUKM … https://t.co/rqJcrhY86L""",112. Positif
102,"113. ""@LKPP_RI mau menanyakan utk melihat data orang-orang yang telah memiliki sertifikasi pengadaan barang dan jasa dimana ya?""",113. Netral
103,"114. ""udah tahun 2023 nih, upgrade dong servernya @LKPP_RI biar nggak ngasih solusi untuk akses di tengah malam-dini hari lagi ☺""",114. Negatif
104,"115. ""@setkabgoid @pramonoanung @LKPP_RI Batiknya bagus Pak @hendrarprihadi""",115. Netral
105,"116. ""Pertemuan tersebut dilakukan salah satunya guna membahas dan melaporkan realisasi penggunaan APBN/APBD untuk Produk dalam Negeri dan produk Usaha Mikro Kecil-Koperasi pada Kementerian/Lembaga/Pemerintah Daerah dalam PBJP yang tercatat di Sistem Pengadaan Secara Elektronik (SPSE).""",116. Netral
106,"117. ""Jakarta - Sambangi Kantor Sekretariat Kabinet, Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) Hendrar Prihadi temui Sekretaris Kabinet Pramono Anung pada Kamis (5/1).#LKPP #KawalPengadaan https://t.co/YZSeT0VdME""",117. Positif
107,"118. ""#LKPP RI Gandeng #KPK Guna Kuatkan Sistem Pengadaan Secara Elektronik #kliKRMOLhttps://t.co/CAEjCEY6nT""",118. Positif
108,"119. ""LKPP Gandeng KPK Untuk Kuatkan Sistem Pengadaan Secara ElektronikKepala LKPP RI, Hendrar Prihadi bertemu dengan seluruh komisioner KPK RI termasuk Ketua KPK RI, Firli Bahuri, Rabu (4/1). https://t.co/fcjUsIukB0""",119. Positif
109,"120. ""Hallo Sobat Kredibel Selamat menyambut Hari Raya Semesta Galungan dan Kuningan Sobat Kredibel! Semoga Yang Maha Esa senantiasa memberikan kerahayuannya pada kita semua.#LKPP#GalunganKuningan https://t.co/tfSwkl9tDI""",120. Positif
110,"121. ""@riefdamn @LKPP_RI Di spk segitu, aslinya 17 di ekatalog terus nego nambah ram harganya disesuaiin jd 18 tapi tetepan layarnya jelek gambarnya burek, backlit yg basic aja ga ada, harga segini mah dapet mac m1""",121. Negatif
111,"122. ""@LKPP_RI Kalo polri gmn min?""",122. Netral
112,"123. ""Ayo terus dukung PDN dan produk UMK-Koperasi untuk Indonesia yang lebih sejahtera!!#LKPP#dukungPDN#umkkoperasi""",123. Positif
113,"124. ""Untuk itu, LKPP mengucapkan terima kasih atas dukungan tersebut. Semoga kolaborasi LKPP dengan K/L/PD dalam menggunakan PDN dan produk UMK-Koperasi dalam PBJP dapat semakin meningkatkan pertumbuhan ekonomi di Indonesia.#LKPP#dukungPDN#umkkoperasi""",124. Positif
114,"125. ""Dalam upayanya meningkatkan penggunaan produk dalam negeri (PDN) dan produk usaha mikro, kecil dan koperasi (UMK-Koperasi) dalam pengadaan barang/jasa pemerintah (PBJP), LKPP tidak berjalan sendiri. Banyak dukungan K/L/PD lainnya termasuk dukungan dari Tentara Nasional Indonesia. https://t.co/bJiwXzYwCb""",125. Positif
115,"126. ""@Tita83079013 @LKPP_RI @DKIJakarta @BinaMargaDKI @KPK_RI @KejaksaanRI GENDHENG....WARISAN TANAH JAKARTA???.""",126. Negatif
116,"127. ""@Tita83079013 @LKPP_RI @DKIJakarta @BinaMargaDKI @KPK_RI @KejaksaanRI Setorane ngeri2 Sis... Yg No.1😃😃😃""",127. Positif
117,"128. ""Hey @LKPP_RI ga mau bebenah ekatalog kalian nih? Belanja 18,7jt dapet leptop jelek kaya gini (acer p214), bela-belain TKDN malah jadi inefisien, mana ada leptop 18jt layarnya butek""",128. Negatif
118,"129. ""@hrdbacot Sertifikasi Kompetensi PBJ Jenjang ahli Muda @LKPP_RI""",129. Netral
119,"130. ""@Tita83079013 @LKPP_RI @DKIJakarta @BinaMargaDKI @KPK_RI @KejaksaanRI Hanya orang2 yang matanya seperti ikan peda yang melotot, tapi tidak mampu melihat keburukan yang terjadi di DKI selama 5 Tahun...Penggunaan Dana Baznas oleh Ganjar...https://t.co/MDYKbKOSA9""",130. Negatif
